"Boro.","Ward","Borough","Constituency","WardName","Elected","Candidate","Party","Vote",,,,,,,,,,,,,
2,12,"Barnet",,"Hale","*","Gordon, Brian C.","Conservative",2315,,,,,,,,,,,,,
2,12,"Barnet",,"Hale",,"Gottsche, Sheila   ","Liberal Democrat",528,,,,,,,,,,,,,
2,12,"Barnet",,"Hale",,"Jacobs, Geoffrey A. ","Liberal Democrat",523,,,,,,,,,,,,,
2,12,"Barnet",,"Hale",,"Lake, David R.","Green",359,,,,,,,,,,,,,
2,12,"Barnet",,"Hale","*","Rayner, Hugh R.","Conservative",2099,,,,,,,,,,,,,
2,12,"Barnet",,"Hale",,"Roberts, Michael C.","Liberal Democrat",488,,,,,,,,,,,,,
2,13,"Barnet",,"Hendon","*","Braun, Maureen   ","Conservative",1937,,,,,,,,,,,,,
2,13,"Barnet",,"Hendon",,"de Lance, Stieve B.","Liberal Democrat",793,,,,,,,,,,,,,
2,13,"Barnet",,"Hendon",,"de Mello, Pablo   ","Green",271,,,,,,,,,,,,,
2,13,"Barnet",,"Hendon","*","Finn, Anthony H. ","Conservative",2011,,,,,,,,,,,,,
